2ID	IID	sex
60737	60737	2
60738	60738	1
60739	60739	1
60740	60740	2
60741	60741	1
60742	60742	2
60743	60743	1
60744	60744	1
60745	60745	2
60746	60746	2
60747	60747	1
60748	60748	2
60749	60749	1
60750	60750	2
60751	60751	2
60752	60752	1
60753	60753	1
60754	60754	2
60755	60755	1
60756	60756	2
60757	60757	1
60758	60758	2
60759	60759	2
60760	60760	2
60761	60761	1
60762	60762	1
60763	60763	2
60764	60764	1
60765	60765	2
60766	60766	1
60767	60767	1
60768	60768	1
60769	60769	2
60770	60770	2
60771	60771	2
60772	60772	2
60773	60773	0
60774	60774	2
60775	60775	2
60776	60776	2
60777	60777	1
60778	60778	1
60779	60779	1
60780	60780	1
60781	60781	2
60782	60782	1
60783	60783	1
60784	60784	1
60785	60785	2
60786	60786	2
60787	60787	1
60788	60788	1
60789	60789	1
60790	60790	1
60791	60791	1
60792	60792	2
60793	60793	2
60794	60794	1
60795	60795	2
60796	60796	2
60797	60797	1
60798	60798	1
60799	60799	2
60800	60800	1
60801	60801	1
60802	60802	1
60803	60803	2
60804	60804	1
60805	60805	1
60806	60806	2
60807	60807	1
60808	60808	2
60809	60809	1
60810	60810	2
60811	60811	1
60812	60812	1
60813	60813	2
60814	60814	1
60815	60815	1
60816	60816	2
60817	60817	2
60818	60818	1
60819	60819	1
60820	60820	2
60821	60821	1
60822	60822	2
60823	60823	1
60824	60824	2
60825	60825	2
60826	60826	0
60827	60827	1
60828	60828	1
60829	60829	2
60830	60830	1
60831	60831	1
60832	60832	2
60833	60833	2
60834	60834	1
60835	60835	1
60836	60836	1
60837	60837	1
60838	60838	2
60839	60839	1
60840	60840	1
60841	60841	1
60842	60842	2
60843	60843	1
60844	60844	2
60845	60845	2
60846	60846	2
60847	60847	2
60848	60848	1
60849	60849	2
60850	60850	1
60851	60851	2
60852	60852	1
60853	60853	1
60854	60854	2
60855	60855	2
60856	60856	1
60857	60857	1
60858	60858	1
60859	60859	1
60860	60860	2
60861	60861	1
60862	60862	2
60863	60863	2
60864	60864	2
60865	60865	1
60866	60866	2
60867	60867	2
60868	60868	1
60869	60869	2
60870	60870	1
60871	60871	2
60872	60872	2
60873	60873	2
60874	60874	2
60875	60875	2
60876	60876	1
60877	60877	0
60878	60878	1
60879	60879	2
60880	60880	1
60881	60881	1
60882	60882	1
60883	60883	1
60884	60884	1
60885	60885	1
60886	60886	2
60887	60887	2
60888	60888	2
60889	60889	2
60890	60890	1
60891	60891	2
60892	60892	2
60893	60893	1
60894	60894	2
60895	60895	1
60896	60896	2
60897	60897	2
60898	60898	1
60899	60899	1
60900	60900	2
60901	60901	2
60902	60902	1
60903	60903	2
60904	60904	2
60905	60905	2
60906	60906	1
60907	60907	1
60908	60908	1
60909	60909	1
60910	60910	1
60911	60911	1
60912	60912	1
60913	60913	2
60914	60914	2
60915	60915	2
60916	60916	2
60917	60917	1
60918	60918	1
60919	60919	1
60920	60920	0
60921	60921	1
60922	60922	1
60923	60923	2
60924	60924	1
60925	60925	1
60926	60926	1
60927	60927	1
60928	60928	2
60929	60929	2
60930	60930	1
60931	60931	1
60932	60932	2
60933	60933	1
60934	60934	1
60935	60935	2
60936	60936	1
60937	60937	1
60938	60938	1
60939	60939	1
60940	60940	2
60941	60941	2
60942	60942	1
60943	60943	1
60944	60944	2
60945	60945	2
60946	60946	2
60947	60947	1
60948	60948	1
60949	60949	1
60950	60950	1
60951	60951	2
60952	60952	1
60953	60953	2
60954	60954	1
60955	60955	1
60956	60956	1
60957	60957	1
60958	60958	2
60959	60959	1
60960	60960	2
60961	60961	1
60962	60962	1
60963	60963	1
60964	60964	1
60965	60965	2
60966	60966	0
60967	60967	2
60968	60968	1
60969	60969	2
60970	60970	1
60971	60971	2
60972	60972	1
60973	60973	1
60974	60974	2
60975	60975	1
60976	60976	2
60977	60977	2
60978	60978	1
60979	60979	2
60980	60980	2
60981	60981	1
60982	60982	2
60983	60983	2
60984	60984	1
60985	60985	2
60986	60986	2
60987	60987	2
60988	60988	2
60989	60989	1
60990	60990	0
60991	60991	2
60992	60992	2
60993	60993	1
60994	60994	1
60995	60995	1
60996	60996	2
60997	60997	1
60998	60998	1
60999	60999	2
61000	61000	1
61001	61001	1
61002	61002	2
61003	61003	1
61004	61004	1
61005	61005	1
61006	61006	1
61007	61007	2
61008	61008	2
61009	61009	1
61010	61010	1
61011	61011	2
61012	61012	1
61013	61013	2
61014	61014	1
61015	61015	1
61016	61016	1
61017	61017	2
61018	61018	1
61019	61019	2
61020	61020	1
61021	61021	2
61022	61022	1
61023	61023	1
61024	61024	2
61025	61025	2
61026	61026	2
61027	61027	2
61028	61028	1
61029	61029	1
61030	61030	1
61031	61031	1
61032	61032	1
61033	61033	1
61034	61034	2
61035	61035	1
61036	61036	2
61037	61037	2
61038	61038	0
61039	61039	1
61040	61040	1
61041	61041	2
61042	61042	1
61043	61043	2
61044	61044	2
61045	61045	1
61046	61046	1
61047	61047	1
61048	61048	1
61049	61049	1
61050	61050	1
61051	61051	2
